马秀妮 ,110000195202012009,6212260262300246144,13456552755
路媛媛 ,11000019791219298X,6212264531626525644,15181298011
洪平凡 ,110000195003222265,6212264021116342444,15170048092
傅峙峰 ,110000197801091000,6212266343646666544,15010663922
吴立强 ,110000196002161821,6212264336142033044,13060213768
褚艳丽 ,110000197008222722,6212260162131541644,15765916447
白仲英 ,110000199307202982,6212265603606341444,13279961435
王钦荣 ,110000199412142425,6212263100050145244,13264311213
刘培民 ,110000197802262588,6212260611352453444,13419863679
于国良 ,110000198109152166,6212263614030123344,13226861072
苏保宁 ,11000019720625168X,6212264202303136144,13348418846
徐浩然 ,110000196303222296,6212264516432430244,15119231865
齐进友 ,110000196210122085,6212260200056243644,15718312557
郭生祥 ,11000019680129118X,6212261230003226544,13597576327
寇学有 ,110000199602232690,6212262541002345344,15154882096
马维江 ,110000197305251985,6212264355303021044,13557707788
范以锦 ,110000197602181898,6212264440663365444,13427718377
刘培民 ,110000195404102600,6212265055055631444,13916435423
李英军 ,110000194607241139,6212264425254265044,15120060628
黄泽升 ,110000196512201651,6212266330645603144,13013600205
刘子龙 ,110000199505081122,6212263303343521444,15020354953
王晓怡 ,11000019830105219X,6212262402303250544,13556291057
张庆荣 ,110000197006272769,6212262444105216144,15713171313
李朝曙 ,110000198705121243,6212266442636255644,13958245160
李斌  ,110000195902082833,6212264020000040144,15396331883
杨化强 ,110000197010271283,6212260544115453244,13359428884
常从喜 ,110000195306192948,6212266011553361344,15795827064
张雷  ,110000195002211433,6212262150532020544,13370131767
王俊涛 ,110000197208282869,6212263601441110144,15724786663
徐蕾  ,110000194911052789,6212261246216160344,15189224481
张莉  ,110000199902152756,6212266564011562244,13399135770
林在霞 ,110000194606282529,6212262032056304644,13982057359
冀涛涓 ,11000019540402282X,6212263061556521344,13925493777
张志勇 ,110000199102032553,6212264050000433444,13456874629
于国利 ,110000196001121051,6212260435235003344,13914101990
刘锋锐 ,110000198001162266,6212266345044540544,15313848607
郑风田 ,110000194711231168,6212263520536154344,15732134934
胡释之 ,110000195605031968,6212260545364154444,15793459908
孙乐文 ,110000197107201206,6212263300126603144,13272560255
刘宝秀 ,110000197905011140,6212262132036562244,13378207605
刘兆铭 ,110000197411052620,6212261005164423444,13529832570
刘琳  ,110000194906231993,6212261041661236244,13410825939
刁玉香 ,110000196601072345,6212264035506201444,13386418053
赵锡恩 ,110000198411161776,6212262254534564244,15378468251
韩利祥 ,110000198506042075,6212264415555062544,15747437780
左兴安 ,110000195306071652,6212261165610204344,15178266253
蔡红东 ,11000019460914114X,6212264125213552044,15722044303
李淑芹 ,110000195709281320,6212264342230226644,15182922276
王冉  ,110000199903202639,6212264030406623444,13090820703
娄承旭 ,110000197908202911,6212266300415123344,13346978694
潘加胜 ,110000194802082399,6212262524612614544,15021163565
刘清东 ,110000195112152139,6212261441245135644,13295947894
张平  ,110000197507152205,6212264362052350044,15125255655
房德娟 ,110000196701052683,6212263513435525144,13238143497
李萍  ,110000197604262472,6212264361014660344,15154809981
肖存永 ,110000199107272265,6212263134051002444,13571461240
马振国 ,110000194801091429,6212262242424205544,13567470185
苗洪昌 ,110000196109082189,6212264450524534244,13504388868
罗炳弟 ,110000197407312865,6212262311331602244,15718910346
王希岭 ,110000199710071485,6212261046222502244,15716305670
李德仁 ,110000196507222045,6212265300411366544,13228681220
孙艳艳 ,110000196811192943,6212262051246614544,13296998988
王增亮 ,110000198307122136,6212260626516004544,13906361572
赵洪喜 ,110000199205141875,6212263102340456044,15771440432
王世杰 ,110000199807121070,6212265660515104544,15116617935
隋建伟 ,11000019570809147X,6212265355654333644,13364886269
张永善 ,110000197206202220,6212266034140515444,13277277870
陈彦兆 ,11000019660124213X,6212266250444246644,13948029830
时寒冰 ,110000195009191797,6212265223045035444,15120151972
王法武 ,110000195703042565,6212265550144161544,13342580154
张龙江 ,110000195103121971,6212265626461246144,15791295716
秦国庆 ,110000196909072819,6212265322526410244,13462340751
董晓丽 ,110000196009271927,6212266013012264044,15396641399
王光志 ,110000197403251398,6212260265304016544,15355764278
王恒建 ,11000019471201240X,6212265542440215244,13591393758
张曙光 ,11000019970521230X,6212263221305145244,13017667641
霰琳  ,110000194604122871,6212266261664541344,13220520055
梁娟娟 ,110000196207222958,6212264130643352144,15167098489
石磊  ,110000194705292335,6212260146331425144,13207403203
孙吉泽 ,110000196010231842,6212264225634563444,13030919028
崔广波 ,110000198111182209,6212265052043001044,13375868708
王龙云 ,110000197309132798,6212261616260222344,13059390619
左晓蕾 ,110000199109011042,6212264424415335544,13283417848
谭汝元 ,110000195511292585,6212260504312332344,13979764885
张勤栋 ,110000196505022605,6212264604263245244,15759702551
房德川 ,110000195706081569,6212263002501240444,15144805150
周鸿祎 ,110000198606082197,6212264634221061444,15722627364
王立娜 ,11000019810508256X,6212260663666256044,15158932243
于芹  ,110000196002041037,6212264102213053144,13569727090
卢麒元 ,110000197008192797,6212263632213665344,15738052465
易友全 ,110000198402051735,6212262616252043044,13993454188
董兴路 ,110000199006282683,6212262614656160044,13237176857
冯学森 ,110000198403081865,6212260056363132344,15317419635
潘立美 ,110000199902042629,6212263553014156044,13482987641
边纪恩 ,110000196212092975,6212262143461503444,15763754815
王法武 ,110000197910161960,6212260411544455044,13969121779
王岳  ,110000195312292523,6212260345463316544,13421791027
郭春福 ,110000195405272732,6212266311561234244,15759579494
王增林 ,110000194709132305,6212260241162123344,15051060228
